Spectrum,Weighted_Mean_Age,Bootstrap_Uncertainty
sn2002bs-20020413.26-fast_snid,27.83,0.57
sn2005cf-20050707.18-fast_snid,31.79,0.47
sn2002cd-20020411.48-fast_snid,-1.56,0.16
sn1995al-19951114.52-fast_snid,1.64,0.20
sn1999be-19990408.14-fast_snid,31.30,0.49
sn2006bw-20060502.31-fast_snid,3.95,0.39
sn2001V-20010327.32-fast_snid,26.35,0.66
sn1994ae-19941208.55-fast_snid,5.51,0.19
sn2007if-20070920.36-fast_snid,34.43,1.31
sn2001ay-20010421.48-fast_snid,-2.10,0.26
sn1996X-19960415.32-fast_snid,-1.80,0.16
sn2001G-20010327.17-fast_snid,34.15,1.11
sn2002ha-20021104.11-mmt_snid,-0.84,0.16
sn1994M-19940505.17-fast_snid,-1.63,0.18
sn2007sr-20080623.00-ldss3_snid,199.25,10.57
sn2004ef-20040916.34-fast_snid,-1.11,0.18
sn2005cc-20050602.21-fast_snid,10.70,2.53
sn1999gh-20000112.38-fast_snid,37.89,0.67
sn2003kh-20031129.13-fast_snid,1.41,0.16
sn1997cn-19970609.21-fast_snid,28.64,0.37
sn1997br-19970508.26-fast_snid,28.12,0.63
sn2002de-20020706.18-fast_snid,30.97,0.46
sn1995bd-19951228.25-fast_snid,-6.86,0.29
sn2001da-20010724.45-fast_snid,6.18,0.20
sn2007qe-20071206.15-fast_snid,10.68,0.24
sn2001eh-20011015.32-fast_snid,31.00,0.50
sn2002bo-20020406.23-fast_snid,15.44,0.40
sn2007ki-20071007.48-fast_snid,33.40,0.92
sn2002aw-20020218.52-fast_snid,-1.39,0.17
sn2001V-20010427.35-fast_snid,35.78,0.66
sn2000cn-20000710.27-fast_snid,30.86,0.37
sn2003ge-20030624.22-fast_snid,13.86,0.37
sn2003it-20031030.22-fast_snid,2.40,0.20
sn2007le-20071031.17-fast_snid,0.89,0.18
sn2008ar-20080401.31-fast_snid,30.95,0.48
sn2008ar-20080510.18-fast_snid,37.93,0.58
sn2005eu-20051011.37-fast_snid,-0.55,0.29
sn2002jg-20021206.17-fast_snid,0.72,0.17
sn2001bg-20010516.23-fast_snid,0.59,0.17
sn2007S-20070414.25-fast_snid,34.45,0.61
sn2002he-20021213.47-fast_snid,34.15,0.43
sn2007ci-20070518.20-fast_snid,-1.24,0.18
sn2002bo-20020315.25-fast_snid,-0.79,0.16
sn2006ac-20060222.43-fast_snid,6.28,0.19
sn2007so-20071216.21-fast_snid,28.56,0.42
sn1998bu-19980625.17-fast_snid,33.71,0.50
sn2006or-20061122.51-fast_snid,-0.52,0.18
sn2005mz-20060129.11-fast_snid,28.08,0.38
sn2007al-20070320.24-fast_snid,11.51,1.12
sn2002bi-20020306.50-fast_snid,29.66,0.46
sn2007hj-20070904.36-fast_snid,-1.19,0.16
sn2003lq-20040113.14-fast_snid,-0.06,0.17
sn2003W-20030130.31-fast_snid,-5.61,0.29
sn2002ha-20021029.13-fast_snid,-2.06,0.17
sn1998cs-19980721.20-fast_snid,5.65,0.20
sn1999aa-19990221.29-fast_snid,-2.07,0.20
sn2003ek-20030522.43-fast_snid,1.07,0.20
sn2006X-20060331.39-fast_snid,37.14,0.69
sn2002jy-20021226.12-fast_snid,-1.75,0.16
sn2003cg-20030402.17-ldss2_snid,-0.67,0.16
sn2003ch-20030327.13-fast_snid,-1.57,0.16
sn2002dl-20020620.41-fast_snid,-1.69,0.17
sn2005am-20050303.30-fast_snid,-2.36,0.18
sn2007af-20070326.39-fast_snid,16.51,0.50
sn2001bg-20010515.23-fast_snid,-0.07,0.17
sn2002ha-20021112.08-fast_snid,7.61,0.20
sn2003hw-20030921.44-fast_snid,27.95,0.61
sn1998D-19980304.42-fast_snid,31.53,0.40
sn2004L-20040227.35-fast_snid,27.51,0.54
sn2004K-20040127.54-fast_snid,10.31,0.23
sn2001V-20010315.44-fast_snid,10.14,0.25
sn1997bq-19970409.15-fast_snid,-1.07,0.17
sn1999aa-19990419.21-fast_snid,37.05,0.64
sn2006ac-20060305.48-fast_snid,23.93,0.54
sn1998dk-19980911.34-fast_snid,10.87,0.19
sn2007hj-20071013.20-fast_snid,32.34,0.45
sn1998cn-19980619.16-fast_snid,24.86,0.60
sn2001G-20010301.45-fast_snid,32.97,0.53
sn1998eg-19981030.16-fast_snid,0.37,0.17
sn2002jy-20030105.11-fast_snid,4.93,0.19
sn2002bo-20020403.19-fast_snid,11.98,0.24
sn1999by-19990622.17-fast_snid,49.23,1.16
sn2006sr-20061226.13-fast_snid,-0.61,0.16
snf20080514-002-20080601.19-fast_snid,0.57,0.16
sn2002bo-20020405.23-fast_snid,14.35,0.34
sn2006gr-20060926.25-fast_snid,-2.85,0.21
sn2004dt-20041013.36-fast_snid,41.50,0.86
sn2005hf-20051031.24-fast_snid,21.66,1.23
