Spectrum,Simple_Mean_Age,Simple_Mean_StdDev,Bootstrap_Median_Age,Bootstrap_Uncertainty
sn1998co-19980716.41-fast_corrected_snid,26.21,3.85,26.75,0.96
sn2004ef-20041020.15-fast_corrected_snid,34.43,3.52,35.10,1.14
sn1998bu-19980616.17-fast_corrected_snid,32.95,2.68,32.90,0.84
sn2000dk-20001029.27-fast_corrected_snid,33.65,6.09,32.90,1.50
sn2002hd-20021109.51-fast_corrected_snid,16.48,2.97,16.45,0.64
sn2001ep-20020114.22-fast_corrected_snid,89.25,9.94,86.65,2.34
sn2005hc-20051031.29-fast_corrected_snid,4.84,2.98,6.05,0.35
sn2002bo-20020406.23-fast_corrected_snid,11.82,2.03,12.00,0.33
sn2006bt-20060429.41-fast_corrected_snid,-7.23,3.63,-5.60,0.65
sn1998aq-19980518.20-fast_corrected_snid,18.47,2.81,17.80,0.64
sn2002cd-20020411.48-fast_corrected_snid,-3.20,3.50,-1.75,0.50
sn2004L-20040218.33-fast_corrected_snid,25.57,4.76,27.30,1.64
sn2005hc-20051105.31-fast_corrected_snid,12.03,1.14,12.15,0.31
sn2006gr-20060926.25-fast_corrected_snid,-5.90,4.10,-6.50,0.76
sn2001da-20010718.45-fast_corrected_snid,0.19,4.48,1.25,0.88
sn1995E-19950228.23-fast_corrected_snid,-1.06,3.39,-0.55,0.80
sn2005am-20050517.14-fast_corrected_snid,72.80,31.53,-1.00,-1.00
sn1998ab-19980518.22-fast_corrected_snid,27.37,3.95,29.00,0.76
sn1998dm-19980921.41-fast_corrected_snid,14.98,1.76,15.15,0.54
sn2007le-20071109.18-fast_corrected_snid,13.44,2.32,13.20,0.42
sn2003cq-20030408.26-fast_corrected_snid,-2.19,4.58,-1.10,0.60
sn2007bm-20070525.17-fast_corrected_snid,27.02,6.34,26.85,2.18
sn1997bq-19970410.16-fast_corrected_snid,0.68,3.49,1.45,0.73
sn2001ay-20010618.22-fast_corrected_snid,41.53,4.52,41.55,0.94
sn2002jy-20030111.08-fast_corrected_snid,13.78,1.52,13.75,0.35
sn1999gh-19991212.50-fast_corrected_snid,21.03,5.06,21.85,1.31
sn2006br-20060427.33-fast_corrected_snid,-2.26,4.45,-1.00,-1.00
sn2005cf-20050612.36-fast_corrected_snid,-3.28,3.13,-3.90,0.86
sn2005eq-20051002.51-fast_corrected_snid,-6.84,2.57,-7.20,0.85
sn2005bo-20050418.21-fast_corrected_snid,-0.89,3.71,0.65,0.68
sn2003it-20031019.18-fast_corrected_snid,-2.04,2.02,-2.30,0.71
sn2006le-20061217.29-fast_corrected_snid,38.47,5.54,39.55,1.10
sn2004fu-20041119.07-fast_corrected_snid,-1.26,5.34,-0.45,0.83
sn2006gt-20060926.38-fast_corrected_snid,0.61,3.77,0.45,0.90
sn2001V-20010401.22-fast_corrected_snid,28.16,6.20,27.70,2.61
sn2007fs-20070718.42-fast_corrected_snid,1.89,2.72,1.95,0.66
sn2007co-20070612.35-fast_corrected_snid,-1.86,4.37,-2.30,0.68
sn2005am-20050509.14-fast_corrected_snid,69.25,5.37,67.90,1.56
sn1998dh-19980801.40-fast_corrected_snid,-1.62,2.57,-0.65,0.62
sn2002dl-20020619.45-fast_corrected_snid,-4.16,2.89,-3.55,0.95
sn1996Z-19960520.17-fast_corrected_snid,5.51,4.69,6.90,0.29
sn1995D-19950228.26-fast_corrected_snid,5.63,1.42,5.20,0.35
sn2007co-20070620.34-fast_corrected_snid,6.04,1.74,6.30,0.29
sn2005M-20050304.31-fast_corrected_snid,26.42,6.79,28.75,2.22
sn2007fb-20070902.32-fast_corrected_snid,55.96,10.32,57.80,1.25
sn1999ek-19991103.40-fast_corrected_snid,2.00,2.56,2.55,0.67
sn2007le-20071018.23-fast_corrected_snid,-6.01,4.06,-6.85,0.99
sn2006gr-20061029.23-fast_corrected_snid,20.69,3.27,20.70,0.63
sn2005el-20050927.47-fast_corrected_snid,-3.13,3.73,-3.55,0.84
sn2006ac-20060304.54-fast_corrected_snid,16.98,3.31,16.85,0.79
sn2000dn-20001123.13-fast_corrected_snid,43.55,3.71,43.35,0.90
sn1999by-19990518.14-fast_corrected_snid,17.05,7.85,15.05,2.86
sn2006cp-20060601.26-fast_corrected_snid,-5.27,3.59,-4.55,1.23
sn2005ke-20051203.27-fast_corrected_snid,15.41,4.83,13.75,1.74
sn2006ac-20060224.37-fast_corrected_snid,9.23,1.62,9.50,0.32
sn1999cl-19990605.19-fast_corrected_snid,0.48,3.31,1.10,1.13
sn2002bo-20020517.18-fast_corrected_snid,57.84,5.80,57.35,1.39
sn2006ot-20061124.23-fast_corrected_snid,0.58,3.43,1.60,0.99
sn2006bt-20060505.27-fast_corrected_snid,-4.54,3.89,-3.30,0.67
sn1998ab-19980429.28-fast_corrected_snid,19.66,2.80,19.05,0.63
sn2007af-20070416.35-fast_corrected_snid,31.70,4.19,31.25,1.00
sn2006N-20060124.26-fast_corrected_snid,-1.83,2.41,-1.55,0.53
sn1999cc-19990517.40-fast_corrected_snid,-0.14,2.89,0.65,0.49
sn2004fu-20041214.09-fast_corrected_snid,31.39,5.41,30.35,1.00
sn1995D-19950426.14-fast_corrected_snid,61.39,4.87,60.30,0.96
sn1998V-19980320.50-fast_corrected_snid,0.62,3.02,0.75,0.69
sn1998aq-19980429.26-fast_corrected_snid,-1.10,3.33,-0.45,0.68
sn2006X-20060306.42-fast_corrected_snid,11.32,2.51,11.50,0.95
sn1995al-19951203.40-mmt_corrected_snid,40.81,12.78,40.85,4.88
sn2003W-20030312.27-fast_corrected_snid,30.12,4.87,32.00,1.38
sn2005mc-20060104.38-fast_corrected_snid,5.98,1.66,6.45,0.29
sn1995E-19950331.22-mmt_corrected_snid,30.20,4.62,30.65,0.88
sn2001ep-20011025.43-fast_corrected_snid,7.14,1.86,7.10,0.27
sn2007hj-20070914.22-mmt_corrected_snid,8.65,2.61,9.25,0.61
sn1999ej-19991104.27-fast_corrected_snid,2.60,1.88,2.30,0.51
sn2003kf-20040118.31-mmt_corrected_snid,40.84,4.49,40.45,0.90
sn2007ae-20070226.53-fast_corrected_snid,0.15,2.80,0.50,0.95
sn2007fs-20070905.28-fast_corrected_snid,55.02,4.01,55.15,1.39
sn1996X-19960510.25-fast_corrected_snid,30.14,6.81,32.05,2.22
sn2002aw-20020220.52-fast_corrected_snid,-2.21,3.06,-1.40,0.44
sn2006H-20060204.11-fast_corrected_snid,27.59,4.15,27.85,0.83
sn2005cf-20050710.21-fast_corrected_snid,32.09,6.59,32.20,1.19
sn2003iv-20040118.21-mmt_corrected_snid,108.86,20.80,94.15,3.88
sn2003kc-20031128.53-fast_corrected_snid,-4.30,3.78,-1.90,0.83
sn2004dt-20041013.36-fast_corrected_snid,60.06,4.11,58.80,0.98
sn2001ep-20011017.42-fast_corrected_snid,1.47,2.17,0.90,0.64
sn1994D-19940318.36-fast_corrected_snid,-1.48,2.61,-1.25,0.70
sn2005eu-20051027.36-fast_corrected_snid,8.19,3.30,9.05,0.50
sn2008ar-20080305.38-fast_corrected_snid,-7.16,2.79,-5.70,0.90
sn2005bc-20050404.46-fast_corrected_snid,-3.94,3.38,-2.80,0.54
sn1997do-19971204.33-fast_corrected_snid,19.05,2.05,19.20,0.53
sn2007bc-20070610.18-fast_corrected_snid,58.48,5.09,57.85,0.98
sn1998de-19980727.45-fast_corrected_snid,-2.37,5.80,-0.85,1.26
sn1999gh-19991208.52-fast_corrected_snid,7.27,1.79,7.85,0.28
sn2006ac-20060305.48-fast_corrected_snid,18.35,3.13,17.90,0.56
sn2008ar-20080302.40-fast_corrected_snid,-8.07,1.86,-7.00,0.77
sn1994S-19940612.26-mmt_corrected_snid,-3.97,3.36,-1.00,-1.00
sn2006cp-20060617.21-fast_corrected_snid,4.49,3.37,5.40,0.57
sn2003cg-20030403.18-fast_corrected_snid,2.35,2.90,3.00,0.76
sn2007A-20070110.14-fast_corrected_snid,-1.16,2.37,-1.10,0.47
sn2008ar-20080510.18-fast_corrected_snid,44.81,4.80,42.95,1.17
sn2007co-20070624.36-fast_corrected_snid,9.80,1.32,9.45,0.29
sn2001eh-20010920.33-fast_corrected_snid,-1.47,3.54,-1.30,1.01
sn2002er-20020904.12-fast_corrected_snid,-1.16,2.15,-0.15,0.60
sn2002cf-20020415.30-fast_corrected_snid,-3.48,4.42,-3.02,1.09
sn2007ci-20070525.19-fast_corrected_snid,-1.82,3.79,-1.05,0.60
sn2001bg-20010521.14-fast_corrected_snid,8.34,0.99,8.45,0.25
sn2002ef-20020801.44-fast_corrected_snid,-4.42,3.05,-4.50,0.89
sn1995al-19951127.52-fast_corrected_snid,17.27,2.34,16.55,0.54
sn1998aq-19980602.23-fast_corrected_snid,35.05,3.07,34.85,0.83
sn2001V-20010324.21-fast_corrected_snid,17.71,2.49,17.75,0.58
sn2008bf-20080508.31-fast_corrected_snid,37.35,4.19,37.20,1.09
sn2002fk-20021010.43-fast_corrected_snid,7.77,0.98,7.60,0.19
sn2002cr-20020508.21-fast_corrected_snid,-3.12,4.10,-2.40,0.83
sn2005eq-20051028.34-fast_corrected_snid,15.90,1.38,16.05,0.33
sn2007bd-20070408.18-fast_corrected_snid,-2.63,4.38,-2.30,0.99
sn2005am-20050330.16-fast_corrected_snid,27.79,3.95,28.25,0.74
sn2006H-20060128.11-fast_corrected_snid,24.82,6.44,27.40,1.17
sn2003W-20030203.33-fast_corrected_snid,-2.63,3.54,-2.15,0.81
sn2001eh-20010921.35-fast_corrected_snid,0.12,3.24,-0.90,1.02
sn1998ab-19980503.26-fast_corrected_snid,28.06,8.44,25.20,1.18
sn1998aq-19980503.24-fast_corrected_snid,2.75,2.09,2.75,0.60
sn2004at-20040330.22-fast_corrected_snid,-0.25,2.00,-0.55,0.58
sn2003kc-20031225.51-fast_corrected_snid,19.90,4.96,19.70,1.27
sn1995D-19950501.15-fast_corrected_snid,65.69,5.66,63.55,1.58
sn2007ci-20070617.20-fast_corrected_snid,26.37,3.12,27.25,0.69
sn1997bq-19970408.14-mmt_corrected_snid,-4.86,3.41,-5.20,0.93
sn1999cc-19990514.36-fast_corrected_snid,-3.52,3.78,-2.35,0.98
sn1998co-19980718.47-fast_corrected_snid,27.84,3.94,27.95,1.04
sn2004as-20040419.26-fast_corrected_snid,28.10,2.86,28.25,0.73
sn1997bq-19970414.21-fast_corrected_snid,0.50,3.25,0.95,1.04
sn2008Z-20080212.33-fast_corrected_snid,-3.32,4.64,-3.20,1.19
sn1999ac-19990411.48-fast_corrected_snid,30.29,2.96,29.55,0.76
sn2001fe-20011217.43-fast_corrected_snid,36.13,5.95,35.80,1.09
sn2008bf-20080410.28-fast_corrected_snid,10.52,1.37,10.30,0.25
sn2003kf-20040102.42-fast_corrected_snid,22.36,3.64,21.05,1.23
sn2000dg-20000903.37-fast_corrected_snid,2.17,2.42,2.75,0.59
sn2007af-20070412.45-fast_corrected_snid,30.34,4.60,30.85,1.08
sn2001bf-20010524.44-fast_corrected_snid,6.23,4.75,7.25,0.50
sn2006mo-20061113.21-fast_corrected_snid,4.54,1.86,4.45,0.44
sn2006H-20060202.11-fast_corrected_snid,26.80,4.22,27.15,0.90
sn1998aq-19981124.54-fast_corrected_snid,249.97,56.22,225.00,11.94
sn2007le-20071115.16-fast_corrected_snid,17.49,2.60,17.55,0.54
sn2006kf-20061027.39-fast_corrected_snid,-3.79,3.33,-3.15,0.96
sn2005ki-20051202.52-fast_corrected_snid,-1.06,2.35,-0.80,0.68
sn2003cg-20030408.17-fast_corrected_snid,7.12,1.47,7.30,0.25
sn2006ac-20060309.33-fast_corrected_snid,24.77,6.59,25.30,1.69
sn2005mc-20051227.37-fast_corrected_snid,-1.04,5.47,0.20,1.88
sn2005cf-20050607.23-fast_corrected_snid,-4.54,3.56,-4.85,0.85
sn2007S-20070212.33-fast_corrected_snid,-3.81,3.77,-3.00,1.28
sn2002G-20020120.53-fast_corrected_snid,-3.59,3.91,-3.25,0.99
sn2005cf-20050610.34-fast_corrected_snid,-3.57,3.23,-4.35,0.81
sn2000cw-20000726.46-fast_corrected_snid,-0.25,3.54,0.85,0.82
sn2003kf-20031222.39-fast_corrected_snid,13.89,1.82,13.40,0.29
sn2001N-20010122.46-fast_corrected_snid,-2.24,5.44,-1.75,1.22
sn2008ar-20080304.40-fast_corrected_snid,-7.14,2.27,-5.80,0.89
sn2007af-20070326.39-fast_corrected_snid,10.81,1.27,10.90,0.25
sn1999aa-19990223.25-fast_corrected_snid,-0.28,2.03,-0.35,0.57
sn2003kf-20031204.43-fast_corrected_snid,-1.41,2.35,-0.45,0.63
sn2003du-20030705.28-mmt_corrected_snid,61.67,5.24,60.05,1.27
sn2006cf-20060521.27-fast_corrected_snid,1.86,2.63,1.85,0.72
sn2001fh-20011120.08-fast_corrected_snid,8.42,1.35,8.45,0.28
sn2006X-20060305.46-fast_corrected_snid,10.98,2.26,10.80,0.53
sn2001ay-20010618.30-mmt_corrected_snid,42.55,2.92,42.10,0.74
sn1998dh-19980804.36-fast_corrected_snid,-0.61,2.36,-0.40,0.64
sn2006cj-20060604.27-fast_corrected_snid,8.82,1.69,8.55,0.29
sn2003du-20030705.21-fast_corrected_snid,59.58,4.39,58.60,1.28
sn2008Q-20080203.12-fast_corrected_snid,-3.46,3.46,-2.45,0.74
sn2005el-20051007.48-fast_corrected_snid,1.49,4.05,1.65,0.50
sn2006X-20060331.39-fast_corrected_snid,41.86,5.44,42.15,1.27
sn2007A-20070109.12-fast_corrected_snid,-1.62,1.93,-1.15,0.47
sn1998dh-19980728.40-fast_corrected_snid,-2.25,2.03,-1.25,0.77
sn1997bp-19970530.18-fast_corrected_snid,48.48,6.08,47.95,1.77
sn1998bp-19980430.47-fast_corrected_snid,0.63,3.22,1.20,0.73
sn2007jg-20071006.44-fast_corrected_snid,12.75,1.35,12.80,0.47
sn2007hj-20071013.20-fast_corrected_snid,34.17,6.26,33.15,1.09
sn2001ep-20011120.48-fast_corrected_snid,30.02,3.06,29.55,0.61
sn2008bf-20080412.30-fast_corrected_snid,12.65,1.20,12.45,0.28
sn2002cr-20020603.16-fast_corrected_snid,20.39,4.17,18.45,1.12
sn2002fk-20021208.29-fast_corrected_snid,65.03,5.97,63.75,1.78
sn2006cp-20060721.18-fast_corrected_snid,36.16,8.19,36.95,2.96
sn2007af-20070710.17-fast_corrected_snid,108.81,18.23,98.50,5.33
sn1998aq-19980715.21-fast_corrected_snid,86.56,8.08,84.12,2.04
sn2003du-20030627.28-fast_corrected_snid,52.82,5.15,52.30,1.11
sn1999cl-19990614.18-fast_corrected_snid,3.26,3.38,3.00,1.21
sn2007S-20070414.25-fast_corrected_snid,26.04,8.38,23.60,1.97
sn2003kf-20031128.43-fast_corrected_snid,-2.14,3.43,-0.85,0.86
sn1998co-19980630.47-fast_corrected_snid,7.70,1.59,7.45,0.24
sn2001E-20010131.46-fast_corrected_snid,13.67,1.35,13.45,0.32
sn2002jg-20021128.09-fast_corrected_snid,-0.28,3.22,-0.60,0.69
sn2006lf-20061116.39-fast_corrected_snid,10.37,1.31,10.70,0.29
sn2005na-20060107.32-fast_corrected_snid,0.13,2.63,-0.10,0.58
sn2007bc-20070516.19-fast_corrected_snid,29.62,3.68,30.35,0.74
sn2005cf-20050611.32-fast_corrected_snid,-3.33,3.14,-3.75,0.77
sn2005ke-20051201.29-fast_corrected_snid,11.13,8.56,8.65,1.43
sn2003fa-20030630.22-fast_corrected_snid,12.94,1.23,12.90,0.39
sn2005eq-20051005.41-fast_corrected_snid,-5.67,2.08,-5.30,0.58
sn2002de-20020612.29-fast_corrected_snid,2.88,4.01,4.05,0.52
sn2003hu-20030928.12-fast_corrected_snid,7.28,1.55,7.20,0.40
sn2008Z-20080313.36-fast_corrected_snid,18.23,2.66,17.85,0.57
sn2006N-20060223.18-fast_corrected_snid,29.52,4.37,29.50,0.76
sn2007af-20070317.42-fast_corrected_snid,1.58,3.23,2.10,0.75
sn1998bp-19980529.42-fast_corrected_snid,29.30,3.71,28.70,0.55
sn1995al-19960115.35-fast_corrected_snid,71.26,9.47,68.30,2.24
sn2007S-20070310.28-fast_corrected_snid,23.11,3.15,22.85,0.89
sn1998dm-19981023.36-fast_corrected_snid,48.17,5.23,47.10,1.79
sn2007ca-20070513.21-fast_corrected_snid,2.73,2.42,3.00,0.51
sn2002bo-20020404.37-fast_corrected_snid,10.17,1.15,10.95,0.26
sn1999ac-19990325.50-fast_corrected_snid,8.79,1.82,8.60,0.29
sn1998ef-19981029.31-fast_corrected_snid,0.01,4.12,1.55,0.53
sn2007bm-20070511.16-fast_corrected_snid,6.65,1.07,6.62,0.35
sn2003ch-20030410.17-fast_corrected_snid,16.98,1.81,16.60,0.46
sn2007ci-20070518.20-fast_corrected_snid,-0.81,2.81,-0.65,0.60
sn2001ep-20011018.43-fast_corrected_snid,2.56,1.79,1.65,0.68
sn2007af-20070423.32-fast_corrected_snid,36.82,3.58,36.25,0.83
sn2007F-20070114.49-fast_corrected_snid,-5.04,4.18,-4.60,1.16
sn2002bo-20020611.15-fast_corrected_snid,84.65,7.00,80.35,2.98
sn2004bg-20040427.28-fast_corrected_snid,11.86,1.30,12.10,0.34
sn1998es-19990207.13-fast_corrected_snid,65.28,6.36,64.60,1.94
sn2003fa-20030704.46-mmt_corrected_snid,16.37,1.62,16.35,0.35
sn1997do-19980101.40-fast_corrected_snid,42.52,4.45,42.15,1.44
sn2002ck-20020519.24-fast_corrected_snid,18.41,2.80,18.00,0.62
sn2003du-20030530.24-fast_corrected_snid,19.13,4.12,18.38,0.83
sn1996X-19960414.32-fast_corrected_snid,-1.45,2.33,-1.40,0.61
sn1998V-19980403.49-fast_corrected_snid,16.32,2.68,16.50,0.37
sn1999gh-19991207.53-fast_corrected_snid,6.53,1.55,7.10,0.24
sn1998bu-19980624.17-fast_corrected_snid,38.67,3.53,37.20,0.83
sn2002jy-20030113.10-fast_corrected_snid,14.97,1.69,14.60,0.50
sn2001cp-20010624.40-fast_corrected_snid,-1.61,3.25,-1.45,0.66
sn2002jy-20021229.08-fast_corrected_snid,-0.04,2.59,-0.30,0.60
sn1999by-19990613.16-fast_corrected_snid,30.12,10.28,32.05,2.83
sn2007af-20070418.28-fast_corrected_snid,32.38,4.19,33.10,0.88
sn2001V-20010422.38-fast_corrected_snid,39.62,4.45,40.45,0.76
sn2000dn-20001006.25-fast_corrected_snid,-1.23,3.83,-1.70,0.90
sn1999aa-19990218.25-fast_corrected_snid,-5.80,2.75,-5.55,0.65
sn2001eh-20011013.33-fast_corrected_snid,20.26,3.24,20.55,0.82
sn1998es-19981118.28-fast_corrected_snid,-7.26,2.47,-7.25,0.77
sn2001V-20010426.33-mmt_corrected_snid,46.48,5.33,45.55,1.15
sn2007fb-20070718.48-fast_corrected_snid,11.72,1.23,11.50,0.23
sn2008bf-20080401.29-fast_corrected_snid,-1.21,2.83,-1.30,0.62
sn2003kc-20031126.54-fast_corrected_snid,-5.53,3.61,-5.80,1.52
sn2002do-20020718.29-fast_corrected_snid,27.51,3.86,27.85,1.10
sn2002hw-20021111.20-fast_corrected_snid,-1.55,3.25,-2.15,0.89
sn2000fa-20010325.18-mmt_corrected_snid,90.98,16.68,88.53,2.91
sn2006lf-20061112.37-fast_corrected_snid,4.48,3.29,5.40,0.38
sn2007fs-20070915.23-fast_corrected_snid,66.17,6.18,65.20,2.17
sn2005el-20051026.50-fast_corrected_snid,26.73,4.52,28.55,1.11
sn1998co-19980627.46-fast_corrected_snid,5.43,1.08,5.40,0.25
sn2001en-20011020.29-fast_corrected_snid,9.41,1.32,9.35,0.26
sn2007ca-20070512.27-fast_corrected_snid,2.69,2.44,2.15,0.51
sn2005bo-20050510.29-fast_corrected_snid,27.21,5.33,25.85,1.30
sn2007S-20070419.30-fast_corrected_snid,28.79,8.60,24.55,1.06
sn2004as-20040416.27-fast_corrected_snid,24.60,5.06,26.95,1.11
sn2008bf-20080530.16-fast_corrected_snid,61.60,4.97,61.65,1.18
sn2001eh-20010923.37-fast_corrected_snid,4.20,2.95,4.10,0.61
sn2002bo-20020416.32-fast_corrected_snid,36.02,6.92,37.45,1.70
sn1999cc-19990516.34-fast_corrected_snid,-1.09,4.23,0.25,0.52
sn2007le-20071111.21-fast_corrected_snid,14.86,2.66,14.28,0.56
sn2006N-20060126.32-fast_corrected_snid,-0.30,2.50,0.20,0.72
sn2002bo-20020413.19-fast_corrected_snid,20.71,3.80,21.15,0.95
sn2003it-20031020.23-fast_corrected_snid,-2.00,2.09,-2.20,0.66
sn2003W-20030307.28-fast_corrected_snid,28.13,8.46,28.70,2.61
sn2001bg-20010530.15-fast_corrected_snid,18.72,2.60,18.40,0.63
sn2003iv-20031023.35-fast_corrected_snid,0.62,2.77,0.90,0.63
sn2001E-20010119.49-fast_corrected_snid,1.94,4.69,3.40,1.13
sn1996C-19960217.48-fast_corrected_snid,1.31,2.91,0.50,0.56
sn1995al-19951124.51-mmt_corrected_snid,14.66,2.17,14.25,0.56
sn2001ay-20010530.37-fast_corrected_snid,27.16,2.80,27.40,0.74
sn1999by-19990515.16-fast_corrected_snid,3.86,3.51,4.40,0.90
sn2002fk-20021226.27-fast_corrected_snid,86.15,8.86,83.95,2.06
sn2005am-20050318.18-fast_corrected_snid,12.96,2.50,11.75,0.41
sn1998co-19980730.45-fast_corrected_snid,11.83,5.03,10.40,1.33
sn1998dh-19980727.40-fast_corrected_snid,-2.11,2.41,-1.85,0.74
sn1999cl-19990609.24-fast_corrected_snid,-1.35,5.19,0.70,1.39
sn2006et-20060918.36-fast_corrected_snid,-1.01,4.02,-1.10,0.99
sn1998bu-19980531.18-fast_corrected_snid,11.51,1.45,11.35,0.23
sn2004at-20040415.19-fast_corrected_snid,17.38,2.49,17.30,0.62
sn1995E-19950224.27-fast_corrected_snid,-3.58,3.42,-3.30,0.97
sn2003ch-20030329.17-fast_corrected_snid,1.32,1.98,0.90,0.61
sn1997bp-19970410.27-fast_corrected_snid,0.46,4.43,2.00,0.66
sn2006lf-20061030.41-fast_corrected_snid,-5.26,2.99,-4.17,0.61
sn2007al-20070320.24-fast_corrected_snid,13.74,6.47,11.30,1.53
sn2006ev-20060916.23-fast_corrected_snid,2.47,3.30,3.75,0.67
sn2006lf-20061119.35-fast_corrected_snid,14.21,2.84,14.30,0.87
sn2007co-20070621.33-fast_corrected_snid,7.15,2.10,7.25,0.28
sn1994ae-19941208.55-fast_corrected_snid,9.05,1.23,8.80,0.37
sn2006cj-20060523.33-fast_corrected_snid,0.03,2.31,-0.90,0.81
sn2006cp-20060723.17-fast_corrected_snid,38.63,8.09,40.10,1.17
sn2008C-20080111.32-mmt_corrected_snid,9.31,1.66,9.55,0.30
sn1999gd-19991208.52-fast_corrected_snid,1.49,3.06,1.25,0.89
sn2004fu-20041111.17-fast_corrected_snid,-4.42,3.71,-4.75,0.97
sn2008bf-20080403.30-fast_corrected_snid,2.38,2.60,2.45,0.62
sn2007co-20070619.45-fast_corrected_snid,3.31,3.63,4.95,0.61
sn2005cf-20050707.18-fast_corrected_snid,27.34,7.87,24.20,1.67
sn1996ai-19960716.18-fast_corrected_snid,29.57,10.92,24.55,1.49
sn2002bf-20020320.22-fast_corrected_snid,13.42,2.68,14.00,0.82
sn1999ej-19991030.28-fast_corrected_snid,-4.13,4.01,-3.00,0.59
sn2007bm-20070517.17-fast_corrected_snid,14.90,3.15,14.65,0.83
sn2003kc-20040118.43-mmt_corrected_snid,39.48,5.12,40.20,0.77
sn1999ac-19990323.51-fast_corrected_snid,7.41,1.84,7.80,0.24
sn2002jy-20021226.12-fast_corrected_snid,-1.26,2.94,-1.05,0.50
sn1998V-19980401.50-fast_corrected_snid,13.63,1.38,13.50,0.31
sn2002jg-20021227.08-fast_corrected_snid,26.63,4.01,27.70,0.88
sn1998es-19981212.18-fast_corrected_snid,15.63,1.72,16.00,0.47
sn2005eq-20051012.33-fast_corrected_snid,-2.21,4.13,-1.05,0.71
sn2007au-20070320.20-fast_corrected_snid,-1.26,2.79,-1.65,0.71
sn2006X-20060424.22-fast_corrected_snid,62.41,9.72,63.00,3.54
sn2007al-20070313.23-fast_corrected_snid,-0.00,3.68,-0.55,1.29
sn2003kf-20031227.42-fast_corrected_snid,17.83,2.58,16.80,0.43
sn2002fk-20021114.27-fast_corrected_snid,45.35,4.28,43.30,1.05
sn2001G-20010325.27-mmt_corrected_snid,64.02,6.77,65.15,2.17
sn2003du-20030528.29-fast_corrected_snid,17.60,2.99,17.00,0.57
sn2000dk-20000921.27-fast_corrected_snid,-3.35,3.15,-2.70,0.91
sn1998co-19980722.40-fast_corrected_snid,27.39,4.94,29.55,1.01
sn2002bo-20020604.17-fast_corrected_snid,77.03,8.35,74.50,3.06
sn2001G-20010327.17-fast_corrected_snid,57.47,20.45,57.35,5.82
sn1998bu-19980622.16-fast_corrected_snid,35.16,2.87,35.10,0.80
sn1994D-19940604.22-fast_corrected_snid,88.92,5.71,87.53,1.51
sn2001fe-20020107.34-fast_corrected_snid,54.55,4.25,52.90,1.60
sn2006N-20060128.22-fast_corrected_snid,1.64,1.96,2.15,0.56
sn2001eh-20011015.32-fast_corrected_snid,22.57,3.37,21.80,0.86
sn2003kf-20040318.12-fast_corrected_snid,104.50,13.36,98.15,4.93
sn1994D-19951124.46-mmt_corrected_snid,203.50,51.84,189.65,29.16
sn1999gh-20000112.38-fast_corrected_snid,42.67,7.57,43.20,1.37
sn2001bf-20010525.47-mmt_corrected_snid,6.64,4.14,8.25,0.55
sn2003it-20031031.23-fast_corrected_snid,7.78,1.27,7.65,0.24
sn2006lf-20061122.35-fast_corrected_snid,17.42,3.07,17.20,0.52
sn2001ep-20011016.45-fast_corrected_snid,0.18,2.81,-0.60,0.67
sn2003kf-20031228.31-fast_corrected_snid,17.75,2.59,17.85,0.56
sn1997do-19971122.45-fast_corrected_snid,6.84,1.36,7.35,0.34
sn1994D-19940411.23-fast_corrected_snid,29.22,5.38,29.85,0.80
sn2003fa-20030628.23-fast_corrected_snid,10.33,1.29,10.10,0.30
sn2006az-20060403.30-fast_corrected_snid,-2.94,3.99,-1.45,0.72
sn1998es-19981221.09-fast_corrected_snid,22.52,3.31,21.90,1.05
sn2008Z-20080229.28-fast_corrected_snid,9.27,1.22,9.10,0.32
sn2005kc-20051227.08-fast_corrected_snid,27.88,4.85,29.15,0.96
sn1997bp-19970604.20-fast_corrected_snid,55.49,6.91,53.10,2.20
sn2000dk-20010126.16-mmt_corrected_snid,124.80,44.90,111.25,5.95
sn2007F-20070121.55-fast_corrected_snid,-1.97,3.28,-1.95,0.81
sn2001E-20010124.48-fast_corrected_snid,7.02,2.02,7.35,0.39
sn2002fk-20021009.36-fast_corrected_snid,6.79,1.26,6.55,0.24
sn2006D-20060126.51-fast_corrected_snid,-3.63,4.56,-2.75,1.41
sn1994M-19940506.26-fast_corrected_snid,-4.54,3.76,-2.65,1.02
sn2002hu-20021206.29-fast_corrected_snid,19.84,3.30,19.15,0.88
sn2007kk-20071106.38-fast_corrected_snid,24.49,7.47,25.85,1.58
sn2005el-20051202.43-fast_corrected_snid,64.23,6.33,63.75,1.72
sn2002hw-20021112.10-fast_corrected_snid,-3.86,4.49,-2.60,0.81
sn2002de-20020603.33-fast_corrected_snid,-4.98,2.14,-5.20,0.59
sn2001gc-20020108.25-fast_corrected_snid,31.66,7.28,31.00,2.57
sn2004as-20040319.28-fast_corrected_snid,-2.98,4.62,-4.10,1.23
sn2001V-20010424.23-fast_corrected_snid,42.45,4.34,42.20,0.80
sn2006H-20060124.15-fast_corrected_snid,13.15,8.32,11.50,2.29
sn2001G-20010125.34-fast_corrected_snid,3.12,2.67,3.05,0.46
sn2005M-20050317.25-fast_corrected_snid,30.68,4.34,30.20,0.80
sn1996Z-19960524.18-fast_corrected_snid,10.46,1.06,11.05,0.24
