sn_name,snr,redshift,feature_depth,mean_continuum_noise,adaptive_feature_width_A,min_wavelength_A,spectrum_file
2003du,8.90,0.00640,4.5774e-15,5.1456e-16,81.0,6199.5,sn2003du-20030604.35-fast_corrected.flm
1999aa,11.30,0.01440,3.7624e-16,3.3285e-17,219.0,6405.0,sn1999aa-19990421.15-fast_corrected.flm
1998es,20.95,0.01060,4.4930e-15,2.1441e-16,138.0,6215.5,sn1998es-19981212.18-fast_corrected.flm
2007nq,5.02,0.04500,7.7438e-17,1.5431e-17,23.5,6363.1,sn2007nq-20071103.20-fast_corrected.flm
2002dl,12.47,0.01630,4.2255e-16,3.3889e-17,220.5,6213.0,sn2002dl-20020619.45-fast_corrected.flm
2006bt,19.78,0.03220,5.4076e-16,2.7339e-17,226.4,6300.5,sn2006bt-20060508.31-fast_corrected.flm
2004dt,15.29,0.01940,5.0412e-15,3.2964e-16,179.3,6431.8,sn2004dt-20041006.37-fast_corrected.flm
2003hu,3.80,0.07500,1.2873e-16,3.3903e-17,22.5,6256.5,sn2003hu-20031002.13-fast_corrected.flm
2000fa,13.92,0.02130,6.6279e-16,4.7610e-17,178.5,6215.0,sn2000fa-20001215.36-fast_corrected.flm
2007kk,15.68,0.04100,1.6952e-16,1.0814e-17,229.3,6355.7,sn2007kk-20071015.32-fast_corrected.flm
2005cf,10.94,0.00650,5.2086e-16,4.7614e-17,86.7,6214.8,sn2005cf-20050709.23-fast_corrected.flm
2007co,18.12,0.02700,4.9383e-16,2.7254e-17,252.8,6254.3,sn2007co-20070608.35-fast_corrected.flm
2007fb,6.38,0.01800,1.0050e-16,1.5747e-17,176.4,6429.1,sn2007fb-20070904.38-fast_corrected.flm
2006cj,2.72,0.06750,5.0144e-17,1.8422e-17,92.6,6538.1,sn2006cj-20060604.27-fast_corrected.flm
2001V,20.59,0.01510,6.5567e-16,3.1846e-17,216.0,6388.5,sn2001V-20010424.23-fast_corrected.flm
2005el,5.94,0.01480,4.5901e-16,7.7278e-17,132.3,6391.8,sn2005el-20051202.43-fast_corrected.flm
2004at,38.38,0.02230,2.9989e-15,7.8146e-17,235.5,6277.5,sn2004at-20040330.22-fast_corrected.flm
2007hj,50.47,0.01430,1.2947e-15,2.5651e-17,261.7,6184.6,sn2007hj-20070905.30-fast_corrected.flm
1997dt,4.35,0.00730,2.6632e-16,6.1160e-17,86.7,6217.3,sn1997dt-19971228.12-fast_corrected.flm
2006cj,7.88,0.06750,1.4983e-16,1.9025e-17,7.4,6363.3,sn2006cj-20060529.26-fast_corrected.flm
2005kc,30.47,0.01510,9.6676e-16,3.1733e-17,192.6,6228.3,sn2005kc-20051130.11-fast_corrected.flm
2003cq,9.47,0.03330,3.1006e-16,3.2738e-17,195.0,6298.5,sn2003cq-20030407.36-fast_corrected.flm
2001V,7.65,0.01510,1.5877e-16,2.0742e-17,187.5,6180.0,sn2001V-20010219.40-fast_corrected.flm
1994S,22.49,0.01510,1.6554e-13,7.3622e-15,2604.1,6134.9,sn1994S-19940612.26-mmt_corrected.flm
2001G,6.45,0.01680,1.7434e-16,2.7022e-17,246.0,6424.5,sn2001G-20010327.17-fast_corrected.flm
2008Z,16.61,0.02100,6.5062e-16,3.9166e-17,173.5,6256.2,sn2008Z-20080302.25-fast_corrected.flm
2002aw,16.19,0.02650,4.8938e-16,3.0229e-17,210.0,6279.0,sn2002aw-20020218.52-fast_corrected.flm
1998aq,107.36,0.00390,2.2973e-14,2.1397e-16,243.0,6156.0,sn1998aq-19980502.23-fast_corrected.flm
1999gh,9.67,0.00770,3.1645e-16,3.2724e-17,181.5,6409.5,sn1999gh-20000210.33-fast_corrected.flm
2006X,50.88,0.00520,3.8406e-15,7.5482e-17,270.5,6111.9,sn2006X-20060303.41-fast_corrected.flm
2001V,15.07,0.01510,3.8898e-16,2.5803e-17,244.5,6418.5,sn2001V-20010523.16-fast_corrected.flm
2008ar,3.67,0.02610,6.7812e-17,1.8462e-17,4.4,6339.6,sn2008ar-20080404.46-fast_corrected.flm
2008Q,75.59,0.00810,1.2570e-14,1.6629e-16,251.4,6161.6,sn2008Q-20080206.11-fast_corrected.flm
2002dl,9.49,0.01630,3.0105e-16,3.1719e-17,190.5,6190.5,sn2002dl-20020618.44-fast_corrected.flm
1997do,10.13,0.01010,2.4842e-16,2.4521e-17,223.5,6132.0,sn1997do-19971106.51-fast_corrected.flm
1998aq,36.62,0.00390,6.1843e-15,1.6888e-16,196.5,6306.0,sn1998aq-19980626.18-fast_corrected.flm
2003kf,24.16,0.00740,3.7919e-15,1.5696e-16,226.5,6138.0,sn2003kf-20031129.41-fast_corrected.flm
2001az,3.13,0.04070,6.5256e-17,2.0881e-17,76.5,6396.0,sn2001az-20010522.33-fast_corrected.flm
2005eq,7.26,0.02900,7.6218e-17,1.0503e-17,213.1,6498.2,sn2005eq-20051205.24-fast_corrected.flm
1999ac,15.65,0.00950,9.8858e-16,6.3180e-17,276.0,6352.5,sn1999ac-19990413.47-fast_corrected.flm
2001V,15.06,0.01510,5.9755e-16,3.9673e-17,213.0,6190.5,sn2001V-20010223.33-fast_corrected.flm
2003it,10.80,0.02510,2.3374e-16,2.1648e-17,172.5,6264.0,sn2003it-20031031.23-fast_corrected.flm
1998eg,6.98,0.02490,2.8136e-16,4.0292e-17,198.0,6318.0,sn1998eg-19981111.16-fast_corrected.flm
1995D,31.44,0.00670,2.3141e-15,7.3599e-17,226.4,6195.9,sn1995D-19950307.32-fast_corrected.flm
2007af,116.60,0.00540,1.1862e-14,1.0173e-16,226.4,6168.1,sn2007af-20070318.41-fast_corrected.flm
2001en,35.38,0.01640,2.0009e-15,5.6548e-17,253.5,6205.5,sn2001en-20011020.29-fast_corrected.flm
1997E,28.64,0.01330,1.7905e-15,6.2524e-17,247.0,6181.4,sn1997E-19970116.25-fast_corrected.flm
2005na,6.53,0.02630,1.2583e-16,1.9277e-17,33.8,6309.1,sn2005na-20060130.24-fast_corrected.flm
2005eu,3.97,0.03490,1.3963e-16,3.5161e-17,75.0,6345.6,sn2005eu-20051109.30-fast_corrected.flm
1995D,18.37,0.00670,7.3571e-16,4.0060e-17,197.0,6337.5,sn1995D-19950404.23-fast_corrected.flm
2002de,15.67,0.02800,1.0487e-15,6.6901e-17,247.5,6295.5,sn2002de-20020610.28-fast_corrected.flm
1998bu,28.38,0.00290,7.6306e-15,2.6890e-16,0.0,6169.5,sn1998bu-19980624.17-fast_corrected.flm
1998es,12.11,0.01060,2.3211e-15,1.9173e-16,81.0,6223.0,sn1998es-19981214.18-fast_corrected.flm
2008C,6.19,0.01700,3.0900e-16,4.9927e-17,60.3,6268.0,sn2008C-20080130.28-fast_corrected.flm
2006hb,20.23,0.01530,5.5973e-16,2.7669e-17,232.3,6253.9,sn2006hb-20061002.47-fast_corrected.flm
2006ac,15.63,0.02270,5.7651e-16,3.6889e-17,216.1,6240.0,sn2006ac-20060226.34-fast_corrected.flm
2005cf,38.89,0.00650,1.5577e-15,4.0050e-17,277.8,6051.0,sn2005cf-20050531.22-fast_corrected.flm
1994D,22.76,0.00290,2.1678e-15,9.5242e-17,154.3,6298.6,sn1994D-19940503.25-fast_corrected.flm
2002bf,2.28,0.02440,6.6791e-17,2.9308e-17,19.5,6318.0,sn2002bf-20020403.21-fast_corrected.flm
1997cn,5.84,0.01680,4.4501e-17,7.6186e-18,41.1,6303.5,sn1997cn-19970701.25-mmt_corrected.flm
2008ar,11.01,0.02610,5.6910e-16,5.1711e-17,185.2,6293.2,sn2008ar-20080306.40-fast_corrected.flm
1994D,111.14,0.00290,3.4983e-14,3.1476e-16,261.7,6137.9,sn1994D-19940318.36-fast_corrected.flm
2005eq,4.05,0.02900,5.1270e-17,1.2647e-17,35.3,6462.1,sn2005eq-20051202.28-fast_corrected.flm
2002bf,3.43,0.02440,1.5083e-16,4.3925e-17,151.5,6237.0,sn2002bf-20020321.22-fast_corrected.flm
2001cp,21.11,0.02240,1.1011e-15,5.2168e-17,223.5,6277.5,sn2001cp-20010629.28-fast_corrected.flm
2001V,15.75,0.01510,7.7123e-16,4.8957e-17,219.0,6393.0,sn2001V-20010422.38-fast_corrected.flm
2002bo,23.15,0.00430,9.8972e-16,4.2748e-17,204.0,6351.0,sn2002bo-20020506.18-fast_corrected.flm
1996X,8.49,0.00680,2.9058e-15,3.4225e-16,13.2,6203.4,sn1996X-19960521.22-fast_corrected.flm
2003W,1.00,0.02010,5.0115e-17,4.9898e-17,127.5,6189.0,sn2003W-20030312.27-fast_corrected.flm
2006al,8.57,0.06790,1.2156e-16,1.4181e-17,219.0,6567.2,sn2006al-20060225.32-fast_corrected.flm
2001eh,15.32,0.03710,3.3598e-16,2.1926e-17,214.5,6354.0,sn2001eh-20010923.37-fast_corrected.flm
1998dh,4.98,0.00870,1.7799e-16,3.5757e-17,4.5,6336.0,sn1998dh-19980917.40-fast_corrected.flm
2004L,9.81,0.03230,1.0499e-16,1.0703e-17,9.0,6334.5,sn2004L-20040221.36-fast_corrected.flm
2007S,20.66,0.01390,1.5124e-15,7.3204e-17,204.3,6215.6,sn2007S-20070210.32-fast_corrected.flm
2001ep,49.10,0.01300,2.9391e-15,5.9861e-17,234.0,6211.5,sn2001ep-20011017.42-fast_corrected.flm
1999ac,15.91,0.00950,6.5622e-16,4.1236e-17,261.0,6348.0,sn1999ac-19990419.44-fast_corrected.flm
2001V,18.26,0.01510,4.6984e-16,2.5728e-17,184.5,6376.5,sn2001V-20010423.22-fast_corrected.flm
2007fs,43.72,0.01730,1.6201e-14,3.7060e-16,254.3,6249.4,sn2007fs-20070719.43-fast_corrected.flm
1994D,12.49,0.00290,1.5549e-15,1.2454e-16,252.8,6354.4,sn1994D-19940604.22-fast_corrected.flm
2001N,1.32,0.02100,8.1549e-17,6.1587e-17,15.0,6157.5,sn2001N-20010122.46-fast_corrected.flm
2005cf,6.82,0.00650,3.0501e-16,4.4704e-17,89.7,6208.9,sn2005cf-20050707.18-fast_corrected.flm
2003du,55.07,0.00640,5.1930e-14,9.4304e-16,243.0,6181.5,sn2003du-20030508.30-fast_corrected.flm
1997do,43.85,0.01010,2.6756e-15,6.1019e-17,271.5,6166.5,sn1997do-19971126.37-fast_corrected.flm
2001V,8.62,0.01510,3.0643e-16,3.5562e-17,60.0,6228.0,sn2001V-20010327.32-fast_corrected.flm
1996ai,22.72,0.00290,1.3674e-14,6.0177e-16,235.2,6160.8,sn1996ai-19960620.17-fast_corrected.flm
2007af,139.54,0.00540,1.5020e-14,1.0763e-16,224.9,6156.9,sn2007af-20070314.44-fast_corrected.flm
2002ck,11.08,0.02980,4.8243e-16,4.3556e-17,217.5,6340.5,sn2002ck-20020502.46-fast_corrected.flm
1999aa,14.04,0.01440,3.7332e-16,2.6598e-17,235.5,6420.0,sn1999aa-19990417.16-fast_corrected.flm
2005ke,10.42,0.00450,4.6364e-16,4.4507e-17,252.8,6205.7,sn2005ke-20051205.26-fast_corrected.flm
2007le,50.53,0.00680,4.1732e-12,8.2595e-14,236.7,6166.2,sn2007le-20071110.17-fast_corrected.flm
2006sr,9.54,0.02440,1.4908e-16,1.5633e-17,213.2,6292.5,sn2006sr-20070110.12-fast_corrected.flm
1999cl,59.91,0.00780,1.4780e-14,2.4669e-16,262.5,6139.0,sn1999cl-19990612.17-fast_corrected.flm
1998bu,145.51,0.00290,4.4069e-14,3.0286e-16,198.0,6150.0,sn1998bu-19980528.19-fast_corrected.flm
2007cg,7.73,0.03320,1.2635e-16,1.6350e-17,235.2,6300.9,sn2007cg-20070516.24-fast_corrected.flm
1997bp,14.08,0.00830,8.6013e-16,6.1067e-17,201.0,6147.0,sn1997bp-19970508.15-fast_corrected.flm
2002bf,14.11,0.02440,5.2018e-16,3.6857e-17,255.0,6196.5,sn2002bf-20020311.21-fast_corrected.flm
2005na,1.30,0.02630,2.2876e-17,1.7604e-17,0.0,6335.4,sn2005na-20060126.39-fast_corrected.flm
2007hj,55.25,0.01430,6.6077e-15,1.1960e-16,266.1,6202.3,sn2007hj-20070909.35-fast_corrected.flm
2006hb,36.00,0.01530,1.0992e-15,3.0531e-17,224.9,6220.6,sn2006hb-20060930.50-fast_corrected.flm
2006cf,4.17,0.04160,7.6157e-17,1.8261e-17,23.5,6514.1,sn2006cf-20060618.19-fast_corrected.flm
1998bp,37.48,0.01050,5.1685e-15,1.3790e-16,259.5,6187.5,sn1998bp-19980501.47-fast_corrected.flm
1998aq,106.41,0.00390,2.2631e-14,2.1268e-16,226.5,6159.0,sn1998aq-19980503.24-fast_corrected.flm
2001G,8.62,0.01680,2.3770e-16,2.7589e-17,3.0,6237.0,sn2001G-20010221.28-fast_corrected.flm
1999aa,2.92,0.01440,1.0064e-16,3.4446e-17,27.0,6477.5,sn1999aa-19990214.33-fast_corrected.flm
2001cp,3.73,0.02240,3.2155e-16,8.6174e-17,64.5,6289.5,sn2001cp-20010721.21-fast_corrected.flm
1998de,8.98,0.01670,5.2570e-16,5.8554e-17,217.5,6249.0,sn1998de-19980801.41-fast_corrected.flm
2006S,19.51,0.03210,3.4211e-16,1.7539e-17,222.0,6323.2,sn2006S-20060202.47-fast_corrected.flm
2004L,2.02,0.03230,9.1652e-17,4.5480e-17,30.0,6370.5,sn2004L-20040226.27-fast_corrected.flm
2002cu,0.74,0.02280,1.7866e-17,2.4101e-17,10.5,6192.0,sn2002cu-20020515.46-fast_corrected.flm
2006cp,5.20,0.02230,3.5092e-16,6.7536e-17,2.9,6298.9,sn2006cp-20060723.17-fast_corrected.flm
1998es,18.16,0.01060,6.7380e-16,3.7102e-17,211.5,6388.5,sn1998es-19990214.12-fast_corrected.flm
2006em,10.66,0.01920,1.7317e-16,1.6252e-17,160.2,6276.4,sn2006em-20060902.41-fast_corrected.flm
2000fa,5.03,0.02130,8.4577e-17,1.6821e-17,115.5,6234.0,sn2000fa-20010104.36-fast_corrected.flm
2004fu,21.65,0.00920,2.2268e-15,1.0284e-16,251.4,6143.6,sn2004fu-20041113.16-fast_corrected.flm
1998dx,1.30,0.05420,3.8828e-17,2.9822e-17,112.5,6444.0,sn1998dx-19980917.13-fast_corrected.flm
2003U,12.00,0.02810,9.2177e-16,7.6831e-17,213.0,6301.5,sn2003U-20030201.55-fast_corrected.flm
1998ec,13.92,0.01990,5.6315e-16,4.0456e-17,216.0,6207.0,sn1998ec-19980929.52-fast_corrected.flm
2002fb,13.47,0.01560,7.4064e-15,5.4991e-16,243.0,6246.0,sn2002fb-20020912.44-fast_corrected.flm
2003W,7.81,0.02010,3.5559e-16,4.5548e-17,195.0,6049.5,sn2003W-20030131.39-fast_corrected.flm
2005cf,10.68,0.00650,2.5386e-16,2.3775e-17,188.2,6370.7,sn2005cf-20050903.14-fast_corrected.flm
2007af,120.56,0.00540,1.1611e-14,9.6305e-17,232.3,6158.3,sn2007af-20070313.45-fast_corrected.flm
2001ep,4.74,0.01300,1.6602e-16,3.5059e-17,52.5,6267.0,sn2001ep-20011118.47-fast_corrected.flm
2000dk,1.45,0.01750,4.9627e-17,3.4300e-17,18.0,6437.0,sn2000dk-20001124.20-fast_corrected.flm
2000fa,5.48,0.02130,1.2806e-16,2.3362e-17,16.5,6051.5,sn2000fa-20001203.48-fast_corrected.flm
2006cj,7.15,0.06750,1.2109e-16,1.6929e-17,129.4,6527.4,sn2006cj-20060602.21-fast_corrected.flm
1998V,12.00,0.01740,4.8684e-16,4.0559e-17,184.5,6259.5,sn1998V-19980401.50-fast_corrected.flm
2002es,6.23,0.01800,1.9935e-16,3.2021e-17,139.5,6354.0,sn2002es-20020905.50-fast_corrected.flm
1994D,3.51,0.00290,3.7333e-17,1.0626e-17,60.6,6323.6,sn1994D-19951124.46-mmt_corrected.flm
2001ep,43.13,0.01300,2.4428e-15,5.6633e-17,232.5,6202.5,sn2001ep-20011016.45-fast_corrected.flm
2002ck,0.86,0.02980,2.4369e-17,2.8380e-17,12.0,6261.0,sn2002ck-20020602.23-fast_corrected.flm
2008bf,9.00,0.02460,1.2859e-16,1.4290e-17,7.4,6297.4,sn2008bf-20080501.22-fast_corrected.flm
2002fb,2.74,0.01560,9.8366e-16,3.5938e-16,3.0,6364.5,sn2002fb-20021005.37-fast_corrected.flm
2007co,25.14,0.02700,3.6892e-16,1.4677e-17,269.0,6286.2,sn2007co-20070616.35-fast_corrected.flm
2008C,42.26,0.01700,9.2399e-16,2.1862e-17,218.4,6224.6,sn2008C-20080111.32-mmt_corrected.flm
2006lf,5.96,0.01320,8.4631e-16,1.4209e-16,157.3,6409.2,sn2006lf-20061227.29-fast_corrected.flm
2004ef,2.52,0.03100,2.0702e-16,8.1998e-17,20.6,6272.9,sn2004ef-20040909.24-fast_corrected.flm
2008ar,24.60,0.02610,1.3582e-15,5.5201e-17,244.0,6302.8,sn2008ar-20080313.37-fast_corrected.flm
2006bt,14.69,0.03220,3.9447e-16,2.6860e-17,198.4,6309.8,sn2006bt-20060507.30-fast_corrected.flm
2007al,7.35,0.01210,2.3453e-16,3.1898e-17,189.6,6219.6,sn2007al-20070312.31-fast_corrected.flm
2000dn,1.24,0.03210,3.0082e-17,2.4353e-17,150.0,6473.0,sn2000dn-20001123.13-fast_corrected.flm
1997bp,39.25,0.00830,5.3078e-15,1.3522e-16,239.6,6081.4,sn1997bp-19970410.27-fast_corrected.flm
1999gh,5.10,0.00770,1.8975e-16,3.7228e-17,145.5,6109.5,sn1999gh-20000212.30-fast_corrected.flm
2001eh,4.84,0.03710,1.4098e-16,2.9102e-17,0.0,6375.0,sn2001eh-20011013.33-fast_corrected.flm
2004as,27.00,0.03100,5.6534e-16,2.0939e-17,253.5,6277.5,sn2004as-20040324.34-fast_corrected.flm
2002bo,28.45,0.00430,3.4213e-15,1.2026e-16,252.0,6160.5,sn2002bo-20020409.20-fast_corrected.flm
1997bq,40.65,0.00930,2.0764e-15,5.1082e-17,245.5,6178.4,sn1997bq-19970501.17-fast_corrected.flm
2007bd,16.17,0.03100,3.4822e-16,2.1533e-17,255.8,6278.8,sn2007bd-20070412.18-fast_corrected.flm
2000dg,14.08,0.03850,3.4517e-16,2.4512e-17,255.0,6391.5,sn2000dg-20000903.37-fast_corrected.flm
2007ca,20.52,0.01410,5.8526e-16,2.8518e-17,186.7,6239.2,sn2007ca-20070518.32-fast_corrected.flm
2004ef,12.41,0.03100,8.4825e-16,6.8351e-17,227.9,6306.2,sn2004ef-20040918.28-fast_corrected.flm
1998aq,111.08,0.00390,2.4809e-14,2.2334e-16,255.0,6159.0,sn1998aq-19980429.26-fast_corrected.flm
2007au,16.86,0.02000,4.9868e-16,2.9579e-17,244.0,6275.8,sn2007au-20070326.15-fast_corrected.flm
2001E,16.88,0.01910,1.0470e-15,6.2026e-17,226.5,6198.0,sn2001E-20010124.48-fast_corrected.flm
1997bp,42.66,0.00830,5.6899e-15,1.3337e-16,254.3,6077.0,sn1997bp-19970411.30-fast_corrected.flm
2007af,6.96,0.00540,1.7975e-16,2.5825e-17,154.3,6407.1,sn2007af-20070718.21-fast_corrected.flm
1998ab,5.11,0.02700,1.6197e-16,3.1690e-17,138.0,6432.0,sn1998ab-19980503.26-fast_corrected.flm
1999ac,27.70,0.00950,2.3844e-15,8.6071e-17,259.5,6229.5,sn1999ac-19990323.51-fast_corrected.flm
2002he,6.41,0.02460,7.4150e-16,1.1570e-16,187.5,6217.5,sn2002he-20021030.48-fast_corrected.flm
2002er,47.43,0.00910,4.4456e-15,9.3727e-17,241.5,6171.0,sn2002er-20020912.11-fast_corrected.flm
2003kf,53.63,0.00740,4.6206e-15,8.6160e-17,202.5,6144.0,sn2003kf-20031130.40-fast_corrected.flm
2002ck,4.86,0.02980,7.2665e-17,1.4938e-17,28.5,6472.5,sn2002ck-20020610.26-fast_corrected.flm
2002fk,6.76,0.00750,4.7057e-16,6.9577e-17,30.0,6223.5,sn2002fk-20021112.36-fast_corrected.flm
2007hj,72.43,0.01430,6.5916e-16,9.1005e-18,282.8,6219.1,sn2007hj-20070914.22-mmt_corrected.flm
2003fa,6.60,0.04040,1.8872e-16,2.8573e-17,93.0,6400.5,sn2003fa-20030704.24-fast_corrected.flm
2000dk,4.07,0.01750,9.5256e-17,2.3419e-17,6.0,6049.5,sn2000dk-20001224.16-fast_corrected.flm
1996Z,5.04,0.00740,4.6034e-16,9.1307e-17,8.8,6165.2,sn1996Z-19960606.17-fast_corrected.flm
2004gs,13.12,0.02660,5.0139e-16,3.8219e-17,242.6,6284.5,sn2004gs-20041219.42-fast_corrected.flm
2003ch,108.07,0.02500,3.9145e-16,3.6223e-18,285.0,6305.0,sn2003ch-20030402.03-ldss2_corrected.flm
1998dx,6.04,0.05420,1.3008e-16,2.1532e-17,166.5,6441.0,sn1998dx-19980922.12-fast_corrected.flm
2007au,19.70,0.02000,5.1579e-16,2.6185e-17,235.2,6223.5,sn2007au-20070321.14-fast_corrected.flm
1995D,36.73,0.00670,7.4835e-16,2.0375e-17,257.2,6368.9,sn1995D-19950501.15-fast_corrected.flm
2001E,4.29,0.01910,1.7107e-16,3.9882e-17,4.5,6261.0,sn2001E-20010225.37-fast_corrected.flm
2003du,16.08,0.00640,7.2666e-15,4.5199e-16,223.5,6351.0,sn2003du-20030706.19-fast_corrected.flm
2006al,3.33,0.06790,4.6871e-17,1.4091e-17,13.2,6530.4,sn2006al-20060303.35-fast_corrected.flm
1998ec,3.66,0.01990,8.0084e-17,2.1853e-17,99.0,6421.5,sn1998ec-19981111.52-fast_corrected.flm
2002dj,24.49,0.00930,2.6785e-15,1.0939e-16,207.0,6075.0,sn2002dj-20020618.17-fast_corrected.flm
2001V,11.00,0.01510,3.6433e-16,3.3122e-17,34.5,6232.5,sn2001V-20010329.29-fast_corrected.flm
2003iv,21.33,0.03430,6.5193e-16,3.0562e-17,210.0,6339.0,sn2003iv-20031025.37-fast_corrected.flm
2005na,27.66,0.02630,8.2879e-16,2.9964e-17,214.6,6298.9,sn2005na-20060109.43-fast_corrected.flm
2005M,5.37,0.02200,5.2272e-17,9.7336e-18,2.9,6299.2,sn2005M-20050409.19-fast_corrected.flm
1996X,50.78,0.00680,4.5669e-14,8.9930e-16,239.6,6169.6,sn1996X-19960417.33-fast_corrected.flm
1995al,48.10,0.00510,1.0026e-14,2.0843e-16,226.7,6151.7,sn1995al-19951124.51-mmt_corrected.flm
1998es,11.29,0.01060,2.0629e-15,1.8271e-16,21.0,6223.5,sn1998es-19981221.09-fast_corrected.flm
1998bp,21.18,0.01050,1.5262e-15,7.2062e-17,234.0,6175.5,sn1998bp-19980430.47-fast_corrected.flm
1998ef,37.03,0.01770,1.9666e-15,5.3103e-17,271.5,6180.0,sn1998ef-19981023.37-fast_corrected.flm
2006cj,8.36,0.06750,8.1034e-17,9.6934e-18,174.9,6540.6,sn2006cj-20060601.28-fast_corrected.flm
2002hw,2.47,0.01750,9.5233e-17,3.8508e-17,3.0,6202.5,sn2002hw-20021205.12-fast_corrected.flm
2001eh,0.98,0.03710,1.8931e-17,1.9246e-17,102.0,6363.0,sn2001eh-20011014.32-fast_corrected.flm
1997do,27.50,0.01010,2.3850e-15,8.6728e-17,210.0,6175.5,sn1997do-19971129.55-fast_corrected.flm
2002cr,61.09,0.00940,7.3076e-15,1.1962e-16,234.0,6205.5,sn2002cr-20020519.18-fast_corrected.flm
2006ac,24.47,0.02270,5.9598e-16,2.4354e-17,254.3,6241.0,sn2006ac-20060224.37-fast_corrected.flm
1999dq,4.89,0.01410,1.4265e-16,2.9170e-17,142.5,6205.5,sn1999dq-19990904.48-fast_corrected.flm
2008bf,12.22,0.02460,1.3291e-16,1.0881e-17,183.8,6441.5,sn2008bf-20080530.16-fast_corrected.flm
2008Z,11.03,0.02100,3.6577e-16,3.3161e-17,138.2,6270.9,sn2008Z-20080307.27-fast_corrected.flm
2001bf,12.07,0.01560,6.8109e-16,5.6447e-17,195.0,6447.0,sn2001bf-20010628.30-fast_corrected.flm
2002dp,29.96,0.01170,3.3315e-15,1.1118e-16,249.0,6223.5,sn2002dp-20020702.45-fast_corrected.flm
1995D,46.07,0.00670,4.1026e-15,8.9047e-17,241.1,6191.5,sn1995D-19950302.30-fast_corrected.flm
2005cf,8.41,0.00650,3.7892e-16,4.5036e-17,91.1,6200.1,sn2005cf-20050708.19-fast_corrected.flm
2001ep,48.61,0.01300,2.4500e-15,5.0405e-17,231.0,6210.0,sn2001ep-20011018.43-fast_corrected.flm
2004as,18.06,0.03100,4.8272e-16,2.6727e-17,247.5,6297.0,sn2004as-20040319.28-fast_corrected.flm
2005hc,9.52,0.04590,1.9996e-16,2.0994e-17,144.1,6386.8,sn2005hc-20051031.29-fast_corrected.flm
2005cf,72.39,0.00650,8.0463e-15,1.1115e-16,255.8,6174.5,sn2005cf-20050609.27-fast_corrected.flm
2003fa,36.67,0.04040,7.6544e-17,2.0873e-18,207.0,6373.0,sn2003fa-20030610.34-mmt_corrected.flm
2001bf,9.49,0.01560,6.6823e-16,7.0401e-17,260.0,6448.0,sn2001bf-20010715.40-mmt_corrected.flm
2002dp,41.33,0.01170,3.5386e-15,8.5615e-17,252.0,6183.0,sn2002dp-20020620.47-fast_corrected.flm
2007S,13.50,0.01390,1.0496e-15,7.7765e-17,191.1,6236.2,sn2007S-20070208.34-fast_corrected.flm
1996bk,35.33,0.00660,4.4321e-15,1.2544e-16,247.0,6157.8,sn1996bk-19961015.10-fast_corrected.flm
2007ba,16.15,0.03850,2.7109e-16,1.6788e-17,232.3,6373.9,sn2007ba-20070411.50-fast_corrected.flm
1998bp,3.53,0.01050,2.7635e-16,7.8386e-17,124.5,6250.5,sn1998bp-19980529.42-fast_corrected.flm
1998bu,35.49,0.00290,1.2025e-14,3.3883e-16,204.0,6309.0,sn1998bu-19980715.17-fast_corrected.flm
2006lf,14.19,0.01320,8.4695e-16,5.9682e-17,189.6,6227.9,sn2006lf-20061117.42-fast_corrected.flm
2006H,6.07,0.01400,1.0538e-16,1.7359e-17,170.5,6268.8,sn2006H-20060202.11-fast_corrected.flm
2002bo,20.58,0.00430,9.8503e-16,4.7867e-17,207.0,6040.5,sn2002bo-20020311.23-fast_corrected.flm
1998bu,25.04,0.00290,9.9548e-15,3.9753e-16,55.5,6174.0,sn1998bu-19980616.17-fast_corrected.flm
2002fk,67.83,0.00750,6.9210e-15,1.0204e-16,252.0,6195.0,sn2002fk-20021007.45-fast_corrected.flm
1999by,53.91,0.00220,1.6981e-14,3.1501e-16,271.5,6141.0,sn1999by-19990506.22-fast_corrected.flm
2005eu,11.56,0.03490,3.7877e-16,3.2754e-17,154.3,6335.3,sn2005eu-20051025.29-fast_corrected.flm
2007bm,33.62,0.00620,3.0606e-15,9.1021e-17,241.1,6125.4,sn2007bm-20070423.23-fast_corrected.flm
2003fa,5.75,0.04040,1.4055e-16,2.4444e-17,111.0,6399.0,sn2003fa-20030703.38-fast_corrected.flm
1999gh,3.68,0.00770,1.1431e-16,3.1049e-17,93.0,6223.5,sn1999gh-20000104.45-fast_corrected.flm
2003it,2.84,0.02510,5.4719e-17,1.9260e-17,43.5,6324.0,sn2003it-20031124.13-fast_corrected.flm
2004fu,15.72,0.00920,2.5947e-15,1.6503e-16,249.9,6161.9,sn2004fu-20041120.11-fast_corrected.flm
2007bd,7.77,0.03100,3.2421e-16,4.1731e-17,167.6,6291.5,sn2007bd-20070425.17-fast_corrected.flm
2003hu,5.51,0.07500,1.3606e-16,2.4703e-17,84.0,6622.5,sn2003hu-20030928.12-fast_corrected.flm
2002jy,8.17,0.01960,1.4828e-13,1.8142e-14,154.5,6297.0,sn2002jy-20030113.10-fast_corrected.flm
2003cg,35.51,0.00410,2.9161e-15,8.2130e-17,187.5,6124.5,sn2003cg-20030408.17-fast_corrected.flm
2006cf,18.80,0.04160,3.7763e-16,2.0084e-17,247.0,6397.1,sn2006cf-20060519.25-fast_corrected.flm
